imagefilename,"Compute Time (C_edge, total time required for processing one item): ",Time when function began processing this file: ,T1 (Time when message is published from edge device): ,T2 (Time when message is en-queued in the IoT Hub): ,T3 (Time when IoT blob file is created): 
ILSVRC2012_test_00000001.JPEG,0.29963183403015137,2019-07-10T18:54:07.511601,2019-07-10T18:54:07.811150,N/A,2019-07-10 18:54:09+00:00
ILSVRC2012_test_00000002.JPEG,0.03636503219604492,2019-07-10T18:54:08.214302,2019-07-10T18:54:08.250551,N/A,2019-07-10 18:54:09+00:00
ILSVRC2012_test_00000003.JPEG,0.058309078216552734,2019-07-10T18:54:08.397110,2019-07-10T18:54:08.455237,N/A,2019-07-10 18:54:09+00:00
ILSVRC2012_test_00000004.JPEG,0.03682088851928711,2019-07-10T18:54:08.615351,2019-07-10T18:54:08.652060,N/A,2019-07-10 18:54:09+00:00
ILSVRC2012_test_00000005.JPEG,0.03203988075256348,2019-07-10T18:54:08.786409,2019-07-10T18:54:08.818338,N/A,2019-07-10 18:54:09+00:00
ILSVRC2012_test_00000006.JPEG,0.033746957778930664,2019-07-10T18:54:08.961507,2019-07-10T18:54:08.995158,N/A,2019-07-10 18:54:10+00:00
ILSVRC2012_test_00000007.JPEG,0.04344582557678223,2019-07-10T18:54:09.128531,2019-07-10T18:54:09.171866,N/A,2019-07-10 18:54:10+00:00
ILSVRC2012_test_00000008.JPEG,0.06288886070251465,2019-07-10T18:54:09.303179,2019-07-10T18:54:09.365881,N/A,2019-07-10 18:54:10+00:00
ILSVRC2012_test_00000009.JPEG,0.017881155014038086,2019-07-10T18:54:09.526281,2019-07-10T18:54:09.544048,N/A,2019-07-10 18:54:10+00:00
ILSVRC2012_test_00000010.JPEG,0.03417706489562988,2019-07-10T18:54:09.677072,2019-07-10T18:54:09.711138,N/A,2019-07-10 18:54:10+00:00
ILSVRC2012_test_00000011.JPEG,0.035372018814086914,2019-07-10T18:54:09.902640,2019-07-10T18:54:09.937901,N/A,2019-07-10 18:54:10+00:00
ILSVRC2012_test_00000012.JPEG,0.03606891632080078,2019-07-10T18:54:10.081391,2019-07-10T18:54:10.117350,N/A,2019-07-10 18:54:11+00:00
ILSVRC2012_test_00000013.JPEG,0.059098005294799805,2019-07-10T18:54:10.273450,2019-07-10T18:54:10.332454,N/A,2019-07-10 18:54:11+00:00
ILSVRC2012_test_00000014.JPEG,0.032475948333740234,2019-07-10T18:54:10.473793,2019-07-10T18:54:10.506157,N/A,2019-07-10 18:54:11+00:00
ILSVRC2012_test_00000015.JPEG,0.037312984466552734,2019-07-10T18:54:10.638958,2019-07-10T18:54:10.676160,N/A,2019-07-10 18:54:11+00:00
ILSVRC2012_test_00000016.JPEG,0.034609079360961914,2019-07-10T18:54:10.820136,2019-07-10T18:54:10.854636,N/A,2019-07-10 18:54:11+00:00
ILSVRC2012_test_00000017.JPEG,0.032325029373168945,2019-07-10T18:54:10.988891,2019-07-10T18:54:11.021104,N/A,2019-07-10 18:54:12+00:00
ILSVRC2012_test_00000018.JPEG,0.06422615051269531,2019-07-10T18:54:11.181035,2019-07-10T18:54:11.245168,N/A,2019-07-10 18:54:12+00:00
ILSVRC2012_test_00000019.JPEG,0.03269696235656738,2019-07-10T18:54:11.397892,2019-07-10T18:54:11.430480,N/A,2019-07-10 18:54:12+00:00
ILSVRC2012_test_00000020.JPEG,0.0319209098815918,2019-07-10T18:54:11.567017,2019-07-10T18:54:11.598825,N/A,2019-07-10 18:54:12+00:00
ILSVRC2012_test_00000021.JPEG,0.030612945556640625,2019-07-10T18:54:11.697615,2019-07-10T18:54:11.728122,N/A,2019-07-10 18:54:12+00:00
ILSVRC2012_test_00000022.JPEG,0.03441500663757324,2019-07-10T18:54:11.911272,2019-07-10T18:54:11.945590,N/A,2019-07-10 18:54:13+00:00
ILSVRC2012_test_00000023.JPEG,0.03132796287536621,2019-07-10T18:54:12.146063,2019-07-10T18:54:12.177272,N/A,2019-07-10 18:54:13+00:00
